Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
April 30 2020,Richland,SC,Passenger,0,1,1,161,162,0.62
June 30 2023,Collier,FL,Passenger,1,0,1,17,18,5.56
December 31 2020,Owyhee,ID,Passenger,1,0,1,3,4,25.00
January 31 2025,District of Columbia,DC,Passenger,4,1,5,145,150,3.33
November 30 2023,Medina,TX,Passenger,1,0,1,6,7,14.29
September 30 2023,Tarrant,TX,Passenger,2,0,2,138,140,1.43
June 30 2024,Solano,CA,Passenger,3,0,3,163,166,1.81
May 31 2025,Rockingham,NH,Passenger,5,0,5,17,22,22.73
June 30 2017,Dale,AL,Passenger,0,1,1,61,62,1.61
June 30 2018,Skamania,WA,Truck,0,0,0,3950,3950,0.00
October 31 2021,Coryell,TX,Passenger,1,0,1,105,106,0.94
March 31 2023,St. Lawrence,NY,Passenger,1,0,1,5,6,16.67
July 31 2020,Columbia,WA,Truck,0,0,0,1540,1540,0.00
December 31 2020,Snohomish,WA,Passenger,5027,1847,6874,537940,544814,1.26
September 30 2019,Contra Costa,CA,Passenger,2,2,4,357,361,1.11
October 31 2023,Sacramento,CA,Passenger,4,1,5,213,218,2.29
April 30 2021,Carson City,NV,Passenger,1,0,1,14,15,6.67
September 30 2018,Clallam,WA,Passenger,129,122,251,50146,50397,0.50
August 31 2022,Twin Falls,ID,Passenger,0,1,1,26,27,3.70
February 29 2020,St. Mary's,MD,Passenger,1,0,1,223,224,0.45
March 31 2023,Klickitat,WA,Passenger,131,60,191,15121,15312,1.25
April 30 2019,Asotin,WA,Passenger,12,8,20,12650,12670,0.16
November 30 2022,Monterey,CA,Passenger,1,2,3,149,152,1.97
February 28 2019,Eagle,CO,Passenger,1,0,1,5,6,16.67
December 31 2023,Hunt,TX,Passenger,1,0,1,4,5,20.00
November 30 2017,Latah,ID,Passenger,0,1,1,81,82,1.22
August 31 2024,Hardin,KY,Truck,1,0,1,21,22,4.55
June 30 2019,Randolph,NC,Passenger,1,0,1,6,7,14.29
March 31 2018,Whitman,WA,Passenger,18,23,41,22475,22516,0.18
August 31 2025,Suffolk,VA,Passenger,1,1,2,78,80,2.50
December 31 2024,Kane,IL,Passenger,1,1,2,9,11,18.18
December 31 2021,Brevard,FL,Passenger,0,1,1,93,94,1.06
November 30 2021,Kittitas,WA,Truck,0,0,0,14796,14796,0.00
November 30 2023,Grant,WA,Truck,14,0,14,28031,28045,0.05
August 31 2020,Santa Clara,CA,Passenger,12,2,14,325,339,4.13
February 28 2019,Sumter,FL,Passenger,0,1,1,10,11,9.09
August 31 2023,Contra Costa,CA,Passenger,4,2,6,186,192,3.12
May 31 2023,Orange,NC,Passenger,1,0,1,8,9,11.11
November 30 2023,Nassau,NY,Passenger,2,0,2,33,35,5.71
July 31 2025,Hardin,KY,Truck,1,0,1,19,20,5.00
September 30 2024,Pierce,WA,Truck,438,0,438,132633,133071,0.33
December 31 2020,Barnstable,MA,Passenger,1,0,1,29,30,3.33
May 31 2019,Snohomish,WA,Truck,1,0,1,121986,121987,0.00
May 31 2017,Norfolk,MA,Passenger,1,0,1,41,42,2.38
April 30 2024,Wilson,TX,Passenger,0,1,1,3,4,25.00
September 30 2025,Jefferson,WA,Truck,47,0,47,8821,8868,0.53
